,abbreviation
WAKE-FOREST,WAKE-FOREST
WASHINGTON-STATE,WASHINGTON-STATE
WASHINGTON,WASHINGTON
WEBER-STATE,WEBER-STATE
WEST-VIRGINIA,WEST-VIRGINIA
WESTERN-CAROLINA,WESTERN-CAROLINA
WESTERN-ILLINOIS,WESTERN-ILLINOIS
WESTERN-KENTUCKY,WESTERN-KENTUCKY
WESTERN-MICHIGAN,WESTERN-MICHIGAN
WICHITA-STATE,WICHITA-STATE
WILLIAM-MARY,WILLIAM-MARY
WINTHROP,WINTHROP
WISCONSIN,WISCONSIN
WOFFORD,WOFFORD
WRIGHT-STATE,WRIGHT-STATE
WYOMING,WYOMING
XAVIER,XAVIER
YALE,YALE
YOUNGSTOWN-STATE,YOUNGSTOWN-STATE
